seed,thresh_a,thresh_b,A_pr_auc,B_pr_auc,delta_pr_auc,A_fail_f1,B_fail_f1,delta_fail_f1,A_fail_recall,B_fail_recall,delta_fail_recall,A_fail_precision,B_fail_precision,delta_fail_precision,A_overall_accuracy,B_overall_accuracy,delta_overall_accuracy
42,0.5172361809045226,0.5221608040201006,0.46908571545737376,0.5003255878710231,0.03123987241364934,0.5255230125523013,0.5210484511517078,-0.004474561400593435,0.37028301886792453,0.3867924528301887,0.016509433962264175,0.9048991354466859,0.7980535279805353,-0.10684560746615057,0.9804185661002901,0.9791753004558641,-0.001243265644426006
123,0.4975376884422111,0.47291457286432165,0.4929792073296821,0.530647246642495,0.03766803931281287,0.517998244073749,0.5209030100334449,0.0029047659596959097,0.3545673076923077,0.37439903846153844,0.019831730769230727,0.9609120521172638,0.8557692307692307,-0.1051428213480331,0.9686070448307411,0.9672346752058555,-0.0013723696248856276
456,0.4088944723618091,0.41874371859296483,0.517029712280802,0.5563830744575635,0.03935336217676155,0.5261027923917443,0.5410148798168638,0.014912087425119513,0.37790697674418605,0.4122093023255814,0.03430232558139534,0.8655126498002663,0.7869034406215316,-0.0786092091787347,0.9653673252099846,0.9644209156512481,-0.0009464095587364829
789,0.4384422110552764,0.3891959798994975,0.49634357757382364,0.5310599434689426,0.03471636589511895,0.5112186537615486,0.5229540918163673,0.011735438054818692,0.3575384615384615,0.40307692307692305,0.04553846153846153,0.8966049382716049,0.7443181818181818,-0.15228675645342316,0.9660815142726301,0.963517020302244,-0.0025644939703861613
1234,0.47783919597989954,0.41381909547738693,0.49992432410973986,0.5365378985734539,0.03661357446371405,0.5160305343511451,0.5360256998623222,0.019995165511177082,0.3530640668523677,0.40668523676880225,0.05362116991643456,0.9584120982986768,0.7860026917900403,-0.17240940650863645,0.9669056236080178,0.9648176503340757,-0.0020879732739420565
