Model,pr_auc,fail_f1,fail_recall,fail_precision,overall_accuracy,pr_auc_delta,pr_auc_pct,fail_f1_delta,fail_f1_pct,fail_recall_delta,fail_recall_pct,fail_precision_delta,fail_precision_pct,overall_accuracy_delta,overall_accuracy_pct
Model A (retune spw=12),0.5024302194179706,0.5206786850477201,0.35579710144927534,0.9703557312252964,0.9722682373151728,,,,,,,,,,
Model B (retune spw=12),0.536133693603021,0.5221825599184089,0.3710144927536232,0.8812392426850258,0.971255905270262,0.033703474185050375,6.708090573073696,0.001503874870688815,0.2888297358573426,0.01521739130434785,4.2769857433808625,-0.08911648854027054,-9.183898819017697,-0.001012332044910802,-0.10412065375150603
