Feature Set,PR-AUC mean,PR-AUC std,Fail F1 mean,Fail F1 std,Fail Rec mean,Fail Rec std,Fail Prec mean,Fail Prec std,Accuracy mean
Die only,0.0898626281817444,0.016844741511132945,0.1229199966801929,0.01781304309575794,0.3163993174150038,0.07037665050644792,0.07926245997644471,0.017252325897354197,0.795430369952823
Die + Spatial,0.49140361687627976,0.017706000577619323,0.5208719025204566,0.004582229626510366,0.36598749547648746,0.009635035735217892,0.9060145119071322,0.03909735623907605,0.9693353330263996
Die + Block,0.14730549656404146,0.01696516540306687,0.16183467233843546,0.021079227762798296,0.2720580345950341,0.032927102455120316,0.11725061830847525,0.02064397036028391,0.8729884069442267
Die + Spatial + Block,0.5264616249323096,0.019606783304218726,0.521592849910089,0.009030231677551475,0.3878857147932516,0.0064944276690456805,0.7968225091428079,0.02984887760533239,0.9676608341892841
